*******************************************************************************************
 Differential cross section for angular bin  [0,0.84]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
*******************************************************************************************
0 	1 	2 	3 	4 	
3.98 	 7.73 	 4.29 	 1.40 	 0.01 	 
*******************************************************************************************
 Differential cross section for angular bin  [0.84,0.9]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
*******************************************************************************************
0 	1 	2 	3 	4 	
3.11 	 10.50 	 11.96 	 6.69 	 0.13 	 
*******************************************************************************************
 Differential cross section for angular bin  [0.9,0.94]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
*******************************************************************************************
0 	1 	2 	3 	4 	
2.77 	 9.29 	 10.43 	 7.03 	 0.23 	 
*******************************************************************************************
 Differential cross section for angular bin  [0.94,1]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
********************************************************************************************
0 	1 	2 	3 	4 	
2.68 	 5.67 	 8.28 	 7.19 	 0.75 	 
********************************************************************************************
 Fractional covariance matrix on the differential cross section result of all systematic uncertainty, the bins are defined as in the paper:
 Momentum bins: 0-5: 0-400 MeV, 5-10: 400-500 MeV, 10-15: 500-700 MeV, 15-20: 700-900 MeV, 20-25 > 900 MeV 
 Angle bins: 0-5: [-1,0], [0,0.84], [0.84,0.9], [0.9,0.94], [0.94,1]
************************************************************************************************************************************
	 0 	 1 	 2 	 3 	 4 	 5 	 6 	 7 	 8 	 9 	 10 	 11 	 12 	 13 	 14 	 15 	 16 	 17 	 18 	 19 	 20 	 21 	 22 	 23 	 24 	 
4 	  0.02454630 	 0.02641562 	 0.02982559 	 0.03413345 	 0.03981940 	 -0.00158421 	 0.01517268 	 0.01839318 	 0.02011502 	 0.02241552 	 0.00067863 	 0.01523604 	 0.01749506 	 0.01965027 	 0.01631025 	 -0.04030053 	 0.01613956 	 0.02044113 	 0.02248816 	 0.01337923 	 0.00000000 	 0.01424988 	 0.01567444 	 0.01583929 	 0.01620449 	
3 	  0.01660036 	 0.02463685 	 0.03003347 	 0.03520045 	 0.03413345 	 0.00171282 	 0.01543841 	 0.02002462 	 0.01916757 	 0.02396486 	 -0.00338729 	 0.01522429 	 0.01720705 	 0.01733137 	 0.02015346 	 -0.04268879 	 0.01608610 	 0.01798142 	 0.01737452 	 0.01914007 	 0.00000000 	 0.01593503 	 0.01630187 	 0.01618341 	 0.01596738 	
2 	  0.01069742 	 0.02200913 	 0.02981683 	 0.03003347 	 0.02982559 	 0.00089438 	 0.01395231 	 0.01922089 	 0.01725494 	 0.02101439 	 -0.00483318 	 0.01390160 	 0.01562680 	 0.01460221 	 0.02030884 	 -0.03795921 	 0.01543906 	 0.01507680 	 0.01325413 	 0.02117496 	 0.00000000 	 0.01594845 	 0.01553701 	 0.01542452 	 0.01447092 	
1 	  0.01795613 	 0.02095136 	 0.02200913 	 0.02463685 	 0.02641562 	 0.01020296 	 0.01511663 	 0.01587845 	 0.01657004 	 0.01922073 	 0.00703930 	 0.01457130 	 0.01528824 	 0.01569188 	 0.01629576 	 -0.01272046 	 0.01468709 	 0.01595121 	 0.01594481 	 0.01496681 	 0.00000000 	 0.01434279 	 0.01453377 	 0.01437850 	 0.01424306 	
0 	  0.04589705 	 0.01795613 	 0.01069742 	 0.01660036 	 0.02454630 	 0.04069451 	 0.01525615 	 0.00767873 	 0.01430349 	 0.01466246 	 0.05355389 	 0.01507197 	 0.01247328 	 0.01684340 	 0.00572055 	 0.10953573 	 0.01313826 	 0.01810192 	 0.02321836 	 0.00039482 	 0.00000000 	 0.00756581 	 0.00983072 	 0.01031632 	 0.01145528 	
************************************************************************************************************************************
 Fractional covariance matrix on the differential cross section result of the statistical uncertainty, the bins are defined as in the paper:
 Momentum bins: 0-5: 0-400 MeV, 5-10: 400-500 MeV, 10-15: 500-700 MeV, 15-20: 700-900 MeV, 20-25 > 900 MeV 
 Angle bins: 0-5: [-1,0], [0,0.84], [0.84,0.9], [0.9,0.94], [0.94,1] 
************************************************************************************************************************************
	 0 	 1 	 2 	 3 	 4 	 5 	 6 	 7 	 8 	 9 	 10 	 11 	 12 	 13 	 14 	 15 	 16 	 17 	 18 	 19 	 20 	 21 	 22 	 23 	 24 	 
24 	  0.00024223 	 0.00001951 	 0.00001984 	 0.00003496 	 0.00005776 	 0.00024478 	 0.00001246 	 0.00001050 	 0.00002220 	 0.00006071 	 0.00024456 	 0.00001535 	 0.00001481 	 0.00002334 	 0.00009883 	 0.00057906 	 0.00003309 	 0.00002137 	 0.00006108 	 0.00032161 	 0.00000000 	 0.00007258 	 0.00004953 	 0.00014991 	 0.00091265 	
23 	  0.00047351 	 0.00001993 	 0.00003376 	 0.00007414 	 0.00005675 	 0.00033239 	 0.00001014 	 0.00002413 	 0.00008474 	 0.00004753 	 0.00003425 	 0.00001960 	 0.00005699 	 0.00030226 	 0.00005903 	 0.00004329 	 0.00004300 	 0.00019744 	 0.00107558 	 0.00011788 	 0.00000000 	 0.00013942 	 0.00050017 	 0.00343931 	 0.00014991 	
22 	  0.00027952 	 0.00002326 	 0.00008328 	 0.00008316 	 0.00009651 	 0.00021206 	 0.00001528 	 0.00010272 	 0.00002745 	 0.00003503 	 0.00009959 	 0.00003868 	 0.00027973 	 0.00006621 	 0.00004709 	 0.00002090 	 0.00011166 	 0.00126681 	 0.00021258 	 0.00002765 	 0.00000000 	 0.00038777 	 0.00428964 	 0.00050017 	 0.00004953 	
21 	  0.00029398 	 0.00006554 	 0.00005571 	 0.00007658 	 0.00010173 	 0.00004641 	 0.00008566 	 0.00002804 	 0.00002312 	 0.00004243 	 0.00003396 	 0.00025377 	 0.00005410 	 0.00004568 	 0.00002414 	 0.00003994 	 0.00103775 	 0.00019785 	 0.00008485 	 0.00006759 	 0.00000000 	 0.00342994 	 0.00038777 	 0.00013942 	 0.00007258 	
20 	  0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	
19 	  0.00042902 	 0.00001975 	 0.00001662 	 0.00002153 	 0.00010166 	 0.00152702 	 0.00001202 	 0.00000294 	 0.00006638 	 0.00049371 	 0.00133614 	 0.00003031 	 0.00002625 	 0.00029059 	 0.00215884 	 0.00431135 	 0.00010363 	 0.00005582 	 0.00098817 	 0.00565731 	 0.00000000 	 0.00006759 	 0.00002765 	 0.00011788 	 0.00032161 	
18 	  0.00059228 	 0.00001767 	 0.00008701 	 0.00018836 	 0.00004330 	 0.00016665 	 0.00001164 	 0.00008770 	 0.00047455 	 0.00010588 	 0.00022021 	 0.00001043 	 0.00041852 	 0.00265280 	 0.00034122 	 0.00024926 	 0.00006719 	 0.00133375 	 0.00924759 	 0.00098817 	 0.00000000 	 0.00008485 	 0.00021258 	 0.00107558 	 0.00006108 	
17 	  0.00034551 	 0.00002807 	 0.00023151 	 0.00011116 	 0.00002234 	 0.00016083 	 0.00002909 	 0.00031576 	 0.00007427 	 0.00000770 	 0.00107019 	 0.00011810 	 0.00199015 	 0.00037828 	 0.00002270 	 0.00001600 	 0.00044999 	 0.00677478 	 0.00133375 	 0.00005582 	 0.00000000 	 0.00019785 	 0.00126681 	 0.00019744 	 0.00002137 	
16 	  0.00013431 	 0.00006671 	 0.00005120 	 0.00004787 	 0.00003863 	 0.00004649 	 0.00015615 	 0.00006496 	 0.00003340 	 0.00007697 	 0.00011245 	 0.00070230 	 0.00014113 	 0.00005077 	 0.00005566 	 0.00004106 	 0.00294934 	 0.00044999 	 0.00006719 	 0.00010363 	 0.00000000 	 0.00103775 	 0.00011166 	 0.00004300 	 0.00003309 	
15 	  0.00031199 	 0.00001506 	 0.00001012 	 0.00000187 	 0.00003382 	 0.00117413 	 0.00000907 	 0.00000145 	 0.00001225 	 0.00004847 	 0.00076938 	 0.00001574 	 0.00000602 	 0.00002441 	 0.00076990 	 0.00355077 	 0.00004106 	 0.00001600 	 0.00024926 	 0.00431135 	 0.00000000 	 0.00003994 	 0.00002090 	 0.00004329 	 0.00057906 	
14 	  0.00066661 	 0.00003222 	 0.00003020 	 0.00017641 	 0.00043498 	 0.00097370 	 0.00001395 	 0.00001998 	 0.00040981 	 0.00331542 	 0.00308830 	 0.00003227 	 0.00007982 	 0.00113090 	 0.00778002 	 0.00076990 	 0.00005566 	 0.00002270 	 0.00034122 	 0.00215884 	 0.00000000 	 0.00002414 	 0.00004709 	 0.00005903 	 0.00009883 	
13 	  0.00036030 	 0.00001817 	 0.00013338 	 0.00051964 	 0.00012378 	 0.00024612 	 0.00002194 	 0.00040962 	 0.00275048 	 0.00068153 	 0.00017109 	 0.00004848 	 0.00104312 	 0.00742194 	 0.00113090 	 0.00002441 	 0.00005077 	 0.00037828 	 0.00265280 	 0.00029059 	 0.00000000 	 0.00004568 	 0.00006621 	 0.00030226 	 0.00002334 	
12 	  0.00024669 	 0.00003014 	 0.00030620 	 0.00016121 	 0.00004687 	 0.00053622 	 0.00008490 	 0.00141549 	 0.00049512 	 0.00006386 	 0.00022555 	 0.00024330 	 0.00437576 	 0.00104312 	 0.00007982 	 0.00000602 	 0.00014113 	 0.00199015 	 0.00041852 	 0.00002625 	 0.00000000 	 0.00005410 	 0.00027973 	 0.00005699 	 0.00001481 	
11 	  0.00022543 	 0.00012834 	 0.00005387 	 0.00004171 	 0.00003534 	 0.00009869 	 0.00054343 	 0.00011225 	 0.00003901 	 0.00002639 	 0.00041030 	 0.00158509 	 0.00024330 	 0.00004848 	 0.00003227 	 0.00001574 	 0.00070230 	 0.00011810 	 0.00001043 	 0.00003031 	 0.00000000 	 0.00025377 	 0.00003868 	 0.00001960 	 0.00001535 	
10 	  0.00049142 	 0.00005627 	 0.00001915 	 0.00004036 	 0.00024292 	 0.00051746 	 0.00035533 	 0.00007060 	 0.00011790 	 0.00329438 	 0.00182660 	 0.00041030 	 0.00022555 	 0.00017109 	 0.00308830 	 0.00076938 	 0.00011245 	 0.00107019 	 0.00022021 	 0.00133614 	 0.00000000 	 0.00003396 	 0.00009959 	 0.00003425 	 0.00024456 	
9 	  0.00135438 	 0.00008446 	 0.00030820 	 0.00142570 	 0.00466306 	 0.00070863 	 0.00004803 	 0.00020579 	 0.00303869 	 0.02290274 	 0.00329438 	 0.00002639 	 0.00006386 	 0.00068153 	 0.00331542 	 0.00004847 	 0.00007697 	 0.00000770 	 0.00010588 	 0.00049371 	 0.00000000 	 0.00004243 	 0.00003503 	 0.00004753 	 0.00006071 	
8 	  0.00044267 	 0.00005953 	 0.00074097 	 0.00377567 	 0.00063926 	 0.00090481 	 0.00007953 	 0.00195000 	 0.01096584 	 0.00303869 	 0.00011790 	 0.00003901 	 0.00049512 	 0.00275048 	 0.00040981 	 0.00001225 	 0.00003340 	 0.00007427 	 0.00047455 	 0.00006638 	 0.00000000 	 0.00002312 	 0.00002745 	 0.00008474 	 0.00002220 	
7 	  0.00019487 	 0.00015232 	 0.00202834 	 0.00080634 	 0.00010523 	 0.00019980 	 0.00042176 	 0.00740678 	 0.00195000 	 0.00020579 	 0.00007060 	 0.00011225 	 0.00141549 	 0.00040962 	 0.00001998 	 0.00000145 	 0.00006496 	 0.00031576 	 0.00008770 	 0.00000294 	 0.00000000 	 0.00002804 	 0.00010272 	 0.00002413 	 0.00001050 	
6 	  0.00027872 	 0.00055781 	 0.00018961 	 0.00010419 	 0.00006104 	 0.00008863 	 0.00189375 	 0.00042176 	 0.00007953 	 0.00004803 	 0.00035533 	 0.00054343 	 0.00008490 	 0.00002194 	 0.00001395 	 0.00000907 	 0.00015615 	 0.00002909 	 0.00001164 	 0.00001202 	 0.00000000 	 0.00008566 	 0.00001528 	 0.00001014 	 0.00001246 	
5 	  0.00048675 	 0.00048353 	 0.00092996 	 0.00164723 	 0.00219619 	 0.00103907 	 0.00008863 	 0.00019980 	 0.00090481 	 0.00070863 	 0.00051746 	 0.00009869 	 0.00053622 	 0.00024612 	 0.00097370 	 0.00117413 	 0.00004649 	 0.00016083 	 0.00016665 	 0.00152702 	 0.00000000 	 0.00004641 	 0.00021206 	 0.00033239 	 0.00024478 	
4 	  0.00120626 	 0.00024085 	 0.00113512 	 0.00532952 	 0.01527918 	 0.00219619 	 0.00006104 	 0.00010523 	 0.00063926 	 0.00466306 	 0.00024292 	 0.00003534 	 0.00004687 	 0.00012378 	 0.00043498 	 0.00003382 	 0.00003863 	 0.00002234 	 0.00004330 	 0.00010166 	 0.00000000 	 0.00010173 	 0.00009651 	 0.00005675 	 0.00005776 	
3 	  0.00035495 	 0.00046657 	 0.00432533 	 0.01856060 	 0.00532952 	 0.00164723 	 0.00010419 	 0.00080634 	 0.00377567 	 0.00142570 	 0.00004036 	 0.00004171 	 0.00016121 	 0.00051964 	 0.00017641 	 0.00000187 	 0.00004787 	 0.00011116 	 0.00018836 	 0.00002153 	 0.00000000 	 0.00007658 	 0.00008316 	 0.00007414 	 0.00003496 	
2 	  0.00046606 	 0.00093410 	 0.00975508 	 0.00432533 	 0.00113512 	 0.00092996 	 0.00018961 	 0.00202834 	 0.00074097 	 0.00030820 	 0.00001915 	 0.00005387 	 0.00030620 	 0.00013338 	 0.00003020 	 0.00001012 	 0.00005120 	 0.00023151 	 0.00008701 	 0.00001662 	 0.00000000 	 0.00005571 	 0.00008328 	 0.00003376 	 0.00001984 	
1 	  0.00048977 	 0.00244663 	 0.00093410 	 0.00046657 	 0.00024085 	 0.00048353 	 0.00055781 	 0.00015232 	 0.00005953 	 0.00008446 	 0.00005627 	 0.00012834 	 0.00003014 	 0.00001817 	 0.00003222 	 0.00001506 	 0.00006671 	 0.00002807 	 0.00001767 	 0.00001975 	 0.00000000 	 0.00006554 	 0.00002326 	 0.00001993 	 0.00001951 	
0 	  0.00046521 	 0.00048977 	 0.00046606 	 0.00035495 	 0.00120626 	 0.00048675 	 0.00027872 	 0.00019487 	 0.00044267 	 0.00135438 	 0.00049142 	 0.00022543 	 0.00024669 	 0.00036030 	 0.00066661 	 0.00031199 	 0.00013431 	 0.00034551 	 0.00059228 	 0.00042902 	 0.00000000 	 0.00029398 	 0.00027952 	 0.00047351 	 0.00024223 	
************************************************************************************************************************************
 Fractional covariance matrix on the differential cross section result of the flux contribution only, the bins are defined as in the paper:
 Momentum bins: 0-5: 0-400 MeV, 5-10: 400-500 MeV, 10-15: 500-700 MeV, 15-20: 700-900 MeV, 20-25 > 900 MeV 
 Angle bins: 0-5: [-1,0], [0,0.84], [0.84,0.9], [0.9,0.94], [0.94,1] 
