GlobalXbin    GlobalYbin    Z
3    22    0.0001977051365593317
3    23    0.0003048339917272488
3    24    0.0004410165434622622
3    25    0.0005906924892006704
3    26    0.000774930600010581
3    27    0.0009906080852343877
3    28    0.001217669834163403
3    29    0.0001628261635433263
3    30    0.0001907410763284853
3    31    0.0002206857710330163
3    32    0.0002438998915784668
3    33    0.000253329503192343
3    34    0.0002622408769070319
3    35    0.000271329862474996
3    36    0.0002914411071988346
3    37    0.0003140947732850565
3    38    0.000341746906565834
3    39    0.0003672722319473114
3    40    0.0003942753743476745
3    41    0.000415356061694047
3    42    0.0004539434608026315
3    43    0.0004993915814540703
3    44    0.0002945490013682228
3    45    0.0003173996248523527
3    46    0.0003479447085581894
3    47    0.0003804212778152568
3    48    0.0004020200987596746
3    49    0.0004214150298310041
3    50    0.0004355745272083287
3    51    0.0004807431976238471
3    52    0.0005590437736001727
3    53    0.0006738814241118885
3    54    0.00081151261874996
3    55    0.0009606319027315256
3    56    0.001128053786031063
3    57    0.001322551543276817
3    58    0.001546062788959585
3    59    0.001826931274863712
3    60    0.002160621656178582
3    61    0.000901947454385247
3    62    0.001164318207985521
3    63    0.0006983926327385621
3    64    5.914280581696637e-05
3    65    0.0009799983692807793
3    66    0.001609823867600366
3    67    0.001389678848666548
3    68    0.0008850772183578121
3    69    5.682418490529995e-05
3    70    0.001149294096528805
3    71    0.002301237857280722
3    72    0.0030628744951576
3    73    0.003387611838909386
3    74    0.003387347868263354
3    75    0.002653938265111484
3    76    0.001495437922522806
3    77    0.00012301325790557
3    78    0.000814097941403354
3    79    0.002879737224535916
3    80    0.004567532406156192
3    81    0.005528552377185395
3    82    0.004505760293278676
3    83    0.002398162252322995
3    84    3.84848032664654e-05
4    0    0.001128239710564772
4    1    0.001057801431939955
4    2    0.0004609160582167645
4    3    0.001000216388074033
4    4    0.001242640954014566
4    5    0.0001782363743237381
4    6    0.0005006227732546883
4    7    0.001915090485057078
4    8    0.0002454415667591328
4    9    0.0002960519647124558
4    10    0.0001101121859969649
4    11    -2.932536254802646e-05
4    12    0.001305331978213811
4    13    0.002545086230954612
4    14    0.001696514429542814
4    15    0.000901830013488863
4    16    0.001126973279558545
4    17    0.001564805989540543
4    18    0.001524402008790347
4    19    0.0007884584177397661
4    20    0.0001116109920625048
4    21    1.926970837573486e-05
4    22    5.969230869134706e-05
4    23    0.0001262445052447316
4    24    0.0002138788320008155
4    25    0.0003219775412812679
4    26    0.0004630813725449824
4    27    0.0006300667723760894
4    28    0.0007987500929589941
4    29    0.0001085582888231724
4    30    0.0001253639879103413
4    31    0.0001412545655809673
4    32    0.0001462101762690525
4    33    0.0001409124203953129
4    34    0.0001363472993799397
4    35    0.0001329431151007466
4    36    0.0001352826192606216
4    37    0.0001405650047105168
4    38    0.0001503040946807685
4    39    0.0001593907360754028
4    40    0.0001697632092746155
4    41    0.000181738217684427
4    42    0.000208145253501943
4    43    0.0002387177821593449
4    44    0.000152856109160651
4    45    0.0001673801204299234
4    46    0.0001923153337886297
4    47    0.0002174233019164378
4    48    0.0002263812481334726
4    49    0.0002242791586542156
4    50    0.0002161097767045343
4    51    0.0002245645767707975
4    52    0.0002485359578658542
4    53    0.0002862093157749603
4    54    0.0003341296463695848
4    55    0.0003951447047973674
4    56    0.0004798418756186989
4    57    0.0005970135824248423
4    58    0.0007497032488844595
4    59    0.0009503433983579449
4    60    0.001178221782013601
4    61    0.0007404346719419746
4    62    0.0006696912275266596
4    63    0.0002410915248512153
4    64    3.640184704823305e-05
4    65    0.000798285935586558
4    66    0.0007225286424511023
4    67    0.0003092901365520942
4    68    0.0002596440748433906
4    69    6.561415752286869e-05
4    70    0.0001733610329006015
4    71    0.0003359251640195888
4    72    0.0005400053563373384
4    73    0.0007035097597557949
4    74    0.001224180029965155
4    75    0.001353989822705179
4    76    0.001094137691389488
4    77    7.116264581014493e-05
4    78    0.0001723891788319292
4    79    0.001356126341242308
4    80    0.002502125808501388
4    81    0.003437516037737251
4    82    0.003134380669536861
4    83    0.00193639079079739
4    84    0.000311699329143591
5    0    -0.0002628931198718542
5    1    -0.0001927979958390192
5    2    5.289784906793475e-05
5    3    0.0001110649392576428
5    4    0.0001782363743237383
5    5    0.0002419543093869853
5    6    0.000669266047362824
5    7    0.0003511490280892479
5    8    0.0003411956432320673
5    9    4.128002467084253e-05
5    10    6.543416870045983e-06
5    11    5.691107572744912e-05
5    12    0.0004965412818488741
5    13    0.0002476304306363475
5    14    0.0002296459296896098
5    15    0.0004483231622876323
5    16    0.0004188861744236026
5    17    0.0001891887057518529
5    18    8.166824246548212e-05
5    19    0.0002362756688848426
5    20    0.0002211308481631828
5    21    -2.567579289623459e-05
5    22    -1.108905361983777e-05
5    23    1.690809018128359e-05
5    24    5.295186138457744e-05
5    25    9.682897044883838e-05
5    26    0.0001517756708889783
5    27    0.0002150199732980411
5    28    0.0002766796399832971
5    29    3.383289610506177e-05
5    30    3.722503290361027e-05
5    31    4.113794162986627e-05
5    32    4.360512187120779e-05
5    33    4.343221958639542e-05
5    34    4.180857112125019e-05
5    35    3.757033751393008e-05
