0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003144,0.000699,-3.1e-05,9e-06,0.000148,0.00015,5e-06,-0.000134,-0.000294,-0.000434,-0.000549,-0.000627,-0.000652,-0.00058,-0.000802
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000699,0.001686,0.000157,5.1e-05,9.3e-05,6.4e-05,-1e-05,-5e-05,-0.0001,-0.000166,-0.000233,-0.000275,-0.00024,-0.000211,-0.000324
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1e-05,0.000157,0.001626,8.5e-05,5.3e-05,6e-06,-1.9e-05,1.6e-05,6.5e-05,8.6e-05,8e-05,6.2e-05,9.2e-05,0.000133,0.000124
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-06,5.1e-05,8.5e-05,0.001492,3.4e-05,2.1e-05,-6e-06,9e-06,1.8e-05,2.1e-05,1.6e-05,-2e-05,-1e-06,2.3e-05,-2.1e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148,9.3e-05,5.3e-05,3.4e-05,0.001397,3.7e-05,-3e-06,-8e-06,-1.8e-05,-2.6e-05,-4.3e-05,-8.8e-05,-9e-05,-3.4e-05,-0.0001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,6.4e-05,6e-06,2.1e-05,3.7e-05,0.001488,2e-06,-7e-06,-2e-05,-3.3e-05,-4.4e-05,-7.4e-05,-7.5e-05,-4.2e-05,-0.000105
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,-1e-05,-1.9e-05,-6e-06,-3e-06,2e-06,0.001185,-0,-2e-06,-1e-06,1e-06,3e-06,-2e-06,-3e-06,-1e-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000134,-5e-05,1.6e-05,9e-06,-8e-06,-7e-06,-0,0.001451,3.7e-05,5.1e-05,5.4e-05,6e-05,8.5e-05,7.2e-05,6.7e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000294,-0.0001,6.5e-05,1.8e-05,-1.8e-05,-2e-05,-2e-06,3.7e-05,0.001456,0.000124,0.000153,0.000168,0.000169,0.00016,0.000206
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000434,-0.000166,8.6e-05,2.1e-05,-2.6e-05,-3.3e-05,-1e-06,5.1e-05,0.000124,0.001823,0.000281,0.000288,0.000237,0.000277,0.000362
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000549,-0.000233,8e-05,1.6e-05,-4.3e-05,-4.4e-05,1e-06,5.4e-05,0.000153,0.000281,0.002776,0.000398,0.000297,0.000345,0.000483
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000627,-0.000275,6.2e-05,-2e-05,-8.8e-05,-7.4e-05,3e-06,6e-05,0.000168,0.000288,0.000398,0.004293,0.000423,0.000397,0.000598
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000652,-0.00024,9.2e-05,-1e-06,-9e-05,-7.5e-05,-2e-06,8.5e-05,0.000169,0.000237,0.000297,0.000423,0.002627,0.000363,0.000485
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00058,-0.000211,0.000133,2.3e-05,-3.4e-05,-4.2e-05,-3e-06,7.2e-05,0.00016,0.000277,0.000345,0.000397,0.000363,0.003571,0.000548
