# Covariance matrix for 1D \cos\theta_\mu cross section
0.120355,0.138482,0.096010,0.119642,0.213292,0.155741,0.274297,0.194670,0.296049,0.246350,1.021273,0.383638,0.400273,0.400152,0.506592,0.628220,0.890327,0.930497,0.831391,1.636415,1.317916,1.407464,2.295448,1.970030,1.681894,1.565324,1.915501,1.643744,0.697537
0.058711,0.020855,0.119335,-0.019738,0.159593,0.189045,0.190034,0.322311,0.108349,0.695586,0.383638,1.165959,0.121074,0.381069,0.492373,0.677480,0.638028,0.386579,1.841110,0.874268,1.724320,1.409416,2.262087,1.182420,0.960339,2.181334,2.123805,1.710241,1.064709
0.127565,0.159376,0.129421,0.250948,0.159521,0.336898,0.220236,0.227947,0.310663,0.241554,0.400273,0.121074,1.120084,0.546004,0.531957,0.777597,0.984953,1.368362,1.382013,2.014618,1.670257,1.552405,2.992782,2.856274,2.047665,1.182452,1.414680,0.997861,-0.666844
0.187183,0.192657,0.302777,0.269078,0.256761,0.210837,0.222448,0.245994,0.487682,0.423068,0.400152,0.381069,0.546004,1.184444,0.808028,0.699356,1.135366,1.101609,1.815510,2.114132,1.997487,2.016032,3.351075,2.757309,2.742980,2.957116,3.018828,2.387167,2.135581
0.177576,0.222972,0.300010,0.335012,0.285989,0.145089,0.284790,0.370952,0.549297,0.199709,0.506592,0.492373,0.531957,0.808028,1.325362,1.016029,0.969060,1.417589,1.799679,2.034032,1.985524,2.539262,3.425272,3.003272,3.376499,3.380133,2.685751,2.573901,1.687797
0.163115,0.196470,0.236026,0.244761,0.251647,0.333102,0.298190,0.450995,0.316893,0.713444,0.628220,0.677480,0.777597,0.699356,1.016029,1.561923,1.426143,1.382662,2.306404,2.364896,2.765690,2.552096,4.511625,3.844923,3.312313,3.147458,3.149243,2.644710,0.939267
0.260581,0.290395,0.268347,0.319545,0.301893,0.474151,0.371230,0.327052,0.559784,0.658962,0.890327,0.638028,0.984953,1.135366,0.969060,1.426143,2.286861,2.071993,2.564894,3.211917,3.178067,3.074006,6.022766,5.157380,4.027225,3.869699,4.253372,3.093179,1.471740
0.335720,0.378763,0.302375,0.539202,0.383344,0.443200,0.408919,0.337553,0.799042,0.168465,0.930497,0.386579,1.368362,1.101609,1.417589,1.382662,2.071993,3.078083,2.984248,3.648077,2.934721,4.054204,6.278683,5.608150,5.466147,4.628026,4.058196,3.750665,2.093415
0.251332,0.280150,0.352133,0.424508,0.485253,0.624444,0.487858,0.720931,0.520427,1.494608,0.831391,1.841110,1.382013,1.815510,1.799679,2.306404,2.564894,2.984248,6.758453,5.164513,5.736336,5.209737,10.117218,7.054726,5.857828,7.072632,6.525708,4.343721,1.713957
0.319508,0.401657,0.512007,0.480852,0.647799,0.585353,0.573473,0.680655,1.023142,0.769472,1.636415,0.874268,2.014618,2.114132,2.034032,2.364896,3.211917,3.648077,5.164513,7.866643,6.888625,5.664988,9.223473,9.467096,7.839126,6.495657,7.097718,5.293887,1.743365
0.318684,0.271100,0.536405,0.270995,0.666489,0.514124,0.696326,0.759994,0.729426,1.717887,1.317916,1.724320,1.670257,1.997487,1.985524,2.765690,3.178067,2.934721,5.736336,6.888625,8.306211,6.215383,10.130734,7.904615,7.541477,7.330705,8.274502,7.919836,3.733399
0.537461,0.458788,0.606759,0.735086,0.534744,0.515146,0.618548,0.899349,1.093561,0.803862,1.407464,1.409416,1.552405,2.016032,2.539262,2.552096,3.074006,4.054204,5.209737,5.664988,6.215383,8.794769,10.580438,8.682645,8.215804,10.134681,10.143453,9.608482,7.487713
0.614957,0.770657,0.590104,1.149123,0.659366,1.329597,1.159912,0.903589,1.543970,1.784201,2.295448,2.262087,2.992782,3.351075,3.425272,4.511625,6.022766,6.278683,10.117218,9.223473,10.130734,10.580438,26.450800,14.650756,11.945821,12.617379,13.050363,9.815698,1.935125
0.495932,0.719447,0.776771,0.732606,0.609598,1.049624,0.689882,1.296441,1.118231,1.493655,1.970030,1.182420,2.856274,2.757309,3.003272,3.844923,5.157380,5.608150,7.054726,9.467096,7.904615,8.682645,14.650756,20.969331,12.154295,10.094037,11.344995,5.896934,-0.196855
0.859198,1.030359,1.158083,1.127540,0.987296,0.605877,0.851067,0.763232,2.144912,0.897364,1.681894,0.960339,2.047665,2.742980,3.376499,3.312313,4.027225,5.466147,5.857828,7.839126,7.541477,8.215804,11.945821,12.154295,20.704788,16.833294,12.467645,15.159861,14.889906
0.799182,0.851533,0.984831,1.047484,0.672345,0.475199,0.784911,1.155106,1.701729,1.332610,1.565324,2.181334,1.182452,2.957116,3.380133,3.147458,3.869699,4.628026,7.072632,6.495657,7.330705,10.134681,12.617379,10.094037,16.833294,21.651768,19.006807,17.406105,16.316438
0.854616,0.591092,0.931667,0.618743,0.561361,0.550651,0.748587,1.305518,1.252584,1.747051,1.915501,2.123805,1.414680,3.018828,2.685751,3.149243,4.253372,4.058196,6.525708,7.097718,8.274502,10.143453,13.050363,11.344995,12.467645,19.006807,23.729911,22.778546,15.083092
